Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures,
2020-05-01, 2113, 9670.2, 33.2, 27.1, 11.6, 29.6
2020-05-02, 2182, 9869.2, 46.5, 46.9, 11.8, 29.7
2020-05-03, 2182, 9967.6, 46.4, 51.3, 11.3, 29.7
2020-05-04, 2182, 9969.1, 37.4, 35.5, 6.2, 29.7
2020-05-05, 2329, 10173.2, 39.2, 32.8, 8.2, 29.7
2020-05-06, 2432, 10470.5, 42.6, 40.1, 11.6, 29.7
2020-05-07, 2562, 10874.6, 41.3, 32.3, 4.5, 29.6
2020-05-08, 2629, 11180.3, 49.1, 37.3, 5.1, 29.5
2020-05-09, 2902, 11981.8, 48.6, 35.0, 6.5, 29.5
2020-05-10, 2964, 12177.4, 44.7, 34.6, 7.1, 29.5
2020-05-11, 3015, 12172.0, 35.6, 30.7, 6.8, 29.6
2020-05-12, 3078, 12167.0, 43.6, 43.8, 8.8, 29.6
2020-05-13, 3153, 13865.8, 42.1, 45.6, 10.6, 29.7
2020-05-14, 3198, 13968.3, 44.8, 45.2, 14.6, 29.7
2020-05-15, 3311, 15069.0, 48.0, 50.2, 12.0, 29.7
2020-05-16, 3463, 15573.0, 47.0, 42.3, 6.3, 29.5
2020-05-17, 3511, 15572.2, 50.5, 49.0, 8.7, 29.5
2020-05-18, 3593, 15563.0, 51.8, 68.7, 8.2, 29.6
2020-05-19, 3707, 15762.0, 44.4, 55.0, 8.9, 29.6
2020-05-20, 3795, 15863.5, 41.7, 48.9, 7.8, 29.7
2020-05-21, 3984, 16471.5, 47.4, 45.5, 6.7, 29.6
2020-05-22, 4146, 17371.8, 40.7, 35.4, 11.7, 29.5
2020-05-23, 4315, 17670.5, 38.6, 34.2, 5.9, 29.5
2020-05-24, 4365, 17676.5, 41.3, 30.3, 5.8, 29.6
2020-05-25, 4365, 17683.0, 47.0, 30.8, 5.0, 29.5
2020-05-26, 4567, 17688.2, 50.3, 28.9, 4.8, 29.5
2020-05-27, 4777, 18391.0, 53.2, 29.7, 7.4, 29.5
2020-05-28, 4914, 19089.4, 52.9, 32.1, 7.5, 29.4
2020-05-29, 5034, 19982.5, 51.0, 35.6, 6.2, 29.4
