Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures,
2020-05-01, 1657, 6361.5, 47.9, 62.5, 10.4, 30.1
2020-05-02, 1726, 6362.0, 54.3, 76.5, 9.4, 30.1
2020-05-03, 1770, 6360.7, 45.8, 59.6, 9.0, 30.2
2020-05-04, 1797, 6561.1, 45.9, 59.6, 7.6, 30.2
2020-05-05, 1830, 6660.8, 50.9, 70.2, 12.1, 30.1
2020-05-06, 1884, 6964.7, 48.2, 58.2, 8.9, 30.1
2020-05-07, 1938, 6966.5, 49.8, 57.9, 7.0, 30.0
2020-05-08, 1982, 7065.6, 51.5, 64.4, 7.5, 29.9
2020-05-09, 2044, 7258.5, 51.0, 77.0, 10.3, 29.9
2020-05-10, 2085, 7561.2, 49.7, 66.5, 11.3, 29.9
2020-05-11, 2122, 7562.3, 50.2, 66.5, 12.4, 29.9
2020-05-12, 2154, 7562.1, 51.9, 69.8, 12.6, 30.0
2020-05-13, 2199, 8061.3, 50.6, 68.1, 9.6, 30.1
2020-05-14, 2202, 8062.7, 52.7, 70.2, 7.2, 30.1
2020-05-15, 2321, 8462.3, 52.3, 70.9, 12.3, 30.1
2020-05-16, 2372, 8565.3, 52.4, 63.6, 10.1, 30.0
2020-05-17, 2413, 8565.6, 56.6, 73.7, 14.2, 29.8
2020-05-18, 2478, 8562.4, 51.0, 67.3, 13.0, 29.9
2020-05-19, 2543, 8861.8, 50.5, 66.9, 14.2, 30.0
2020-05-20, 2581, 8861.6, 50.3, 67.4, 10.2, 30.1
2020-05-21, 2630, 9063.4, 51.6, 66.7, 9.2, 30.0
2020-05-22, 2729, 9062.6, 48.6, 61.2, 9.7, 29.9
2020-05-23, 2788, 9262.3, 49.8, 65.3, 7.0, 30.0
2020-05-24, 2868, 9366.6, 51.5, 60.8, 5.7, 30.0
2020-05-25, 2895, 9372.4, 53.5, 55.3, 6.4, 29.9
2020-05-26, 3007, 9374.0, 56.7, 57.3, 7.3, 29.9
2020-05-27, 3070, 9769.5, 56.4, 64.5, 10.0, 29.9
2020-05-28, 3118, 9761.4, 54.2, 78.1, 10.6, 29.9
2020-05-29, 3216, 10265.0, 54.9, 70.5, 12.8, 29.9
